Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
74	9	24	12	12	0	24	0
75	10	32	8	4	0	12	20
76	10	32	4	0	0	4	28
77	9	24	8	4	0	12	12
78	10	33	9	3	0	12	21
79	10	33	6	0	0	6	27
80	9	24	9	3	0	12	12
81	10	32	6	1	0	7	25
82	10	33	9	3	0	12	21
83	10	33	6	0	0	6	27
84	9	24	9	3	0	12	12
85	11	43	12	0	0	12	31
86	10	35	6	2	0	8	27
87	10	35	6	2	0	8	27
88	10	33	6	3	0	9	24
89	10	33	3	0	0	3	30
90	9	24	6	6	0	12	12
91	10	36	8	8	0	16	20
92	10	36	4	4	0	8	28
93	10	36	8	4	0	12	24
94	10	36	4	0	0	4	32
95	10	40	16	0	0	16	24
96	10	36	8	8	0	16	20
97	10	36	8	0	0	8	28
98	9	28	8	4	0	12	16
99	11	40	16	8	0	24	16
100	12	48	16	0	0	16	32
101	11	40	8	8	0	16	24
102	11	44	12	4	0	16	28
103	10	32	16	16	0	32	0
104	10	32	8	8	0	16	16
105	11	40	8	0	0	8	32
106	11	40	8	8	0	16	24
107	12	48	8	0	0	8	40
108	11	40	8	8	0	16	24
109	11	44	6	2	0	8	36
110	11	40	16	0	0	16	24
111	10	32	8	8	0	16	16
112	11	40	12	2	0	14	26
113	12	48	12	0	0	12	36
114	11	40	6	2	0	8	32
115	11	40	8	0	0	8	32
116	12	48	8	0	0	8	40
117	11	40	8	8	0	16	24
118	11	43	12	2	0	14	29
119	11	40	16	8	0	24	16
120	12	48	16	0	0	16	32
121	12	48	16	0	0	16	32
122	11	40	8	8	0	16	24
123	11	40	8	0	0	8	32
124	10	32	8	4	0	12	20
125	10	32	16	4	0	20	12
126	10	32	8	4	0	12	20
127	11	44	12	4	0	16	28
128	11	44	8	0	0	8	36
129	10	32	12	4	0	16	16
130	11	44	12	4	0	16	28
131	11	44	12	4	0	16	28
132	11	44	12	0	0	12	32
133	10	36	12	2	0	14	22
134	10	32	16	16	0	32	0
135	10	32	16	0	0	16	16
136	9	24	16	8	0	24	0
137	11	40	8	4	0	12	28
138	12	48	8	0	0	8	40
139	11	40	4	4	0	8	32
140	10	32	8	8	0	16	16
141	11	40	8	0	0	8	32
142	13	66	18	0	0	18	48
143	12	55	6	1	0	7	48
144	11	47	6	0	0	6	41
145	11	40	8	0	0	8	32
146	12	48	24	0	0	24	24
147	11	40	8	4	0	12	28
148	10	32	8	0	0	8	24
149	10	32	4	4	0	8	24
150	11	44	6	2	0	8	36
151	11	44	4	0	0	4	40
152	10	32	6	2	0	8	24
153	11	44	6	2	0	8	36
154	11	44	6	2	0	8	36
155	11	44	6	0	0	6	38
156	10	36	6	0	0	6	30
157	10	32	8	8	0	16	16
158	11	40	16	0	0	16	24
159	10	32	16	0	0	16	16
160	10	32	8	0	0	8	24
161	9	24	8	0	0	8	16
162	10	32	6	2	0	8	24
163	11	40	6	0	0	6	34
164	10	35	6	1	0	7	28
165	10	32	8	4	0	12	20
166	10	32	8	0	0	8	24
167	11	40	8	0	0	8	32
168	10	32	6	1	0	7	25
169	10	35	6	2	0	8	27
170	10	32	8	8	0	16	16
171	11	40	8	0	0	8	32
172	11	40	8	0	0	8	32
173	10	32	8	0	0	8	24
174	10	32	8	0	0	8	24
175	9	24	8	4	0	12	12
176	11	44	12	4	0	16	28
177	11	44	8	0	0	8	36
178	10	32	12	4	0	16	16
179	11	44	8	0	0	8	36
180	11	44	12	4	0	16	28
181	11	44	12	4	0	16	28
182	11	44	12	0	0	12	32
183	10	36	12	2	0	14	22
184	11	44	4	0	0	4	40
185	10	32	8	0	0	8	24
186	11	44	8	0	0	8	36
187	11	44	8	0	0	8	36
188	11	44	8	0	0	8	36
